date_time,secs_from_start,vis_ring,snd_playing,mri_vol,event_type
2016-03-09-10:32:51.338,078.421,1,wav/901/norm/901-neu-chk-b.wav,40,ring_on
2016-03-09-10:32:51.732,078.815,1,wav/901/norm/901-neu-chk-b.wav,40,keypress
2016-03-09-10:32:52.338,079.421,0,wav/901/norm/901-neu-chk-b.wav,40,ring_off
2016-03-09-10:32:52.925,080.008,0,wav/901/norm/901-neu-chk-b.wav,41,new_mri_vol
2016-03-09-10:32:54.924,082.007,0,wav/901/norm/901-neu-chk-b.wav,42,new_mri_vol
2016-03-09-10:32:56.925,084.009,0,wav/901/norm/901-neu-chk-b.wav,43,new_mri_vol
2016-03-09-10:32:57.386,084.469,0,silence,43,sound_off
2016-03-09-10:32:58.924,086.007,0,silence,44,new_mri_vol
2016-03-09-10:32:59.504,086.587,1,silence,44,ring_on
2016-03-09-10:32:59.923,087.007,1,silence,44,keypress
2016-03-09-10:33:00.504,087.587,0,silence,44,ring_off
2016-03-09-10:33:00.927,088.011,0,silence,45,new_mri_vol
2016-03-09-10:33:02.922,090.006,0,silence,46,new_mri_vol
2016-03-09-10:33:03.424,090.507,0,wav/901/norm/901-sad-din-b.wav,46,sound_on
2016-03-09-10:33:04.922,092.006,0,wav/901/norm/901-sad-din-b.wav,47,new_mri_vol
2016-03-09-10:33:06.653,093.737,1,wav/901/norm/901-sad-din-b.wav,47,ring_on
2016-03-09-10:33:06.923,094.006,1,wav/901/norm/901-sad-din-b.wav,48,new_mri_vol
2016-03-09-10:33:07.051,094.134,1,wav/901/norm/901-sad-din-b.wav,48,keypress
2016-03-09-10:33:07.653,094.736,0,wav/901/norm/901-sad-din-b.wav,48,ring_off
2016-03-09-10:33:08.922,096.005,0,wav/901/norm/901-sad-din-b.wav,49,new_mri_vol
2016-03-09-10:33:10.925,098.008,0,wav/901/norm/901-sad-din-b.wav,50,new_mri_vol
2016-03-09-10:33:12.925,100.009,0,wav/901/norm/901-sad-din-b.wav,51,new_mri_vol
2016-03-09-10:33:13.403,100.486,0,silence,51,sound_off
2016-03-09-10:33:14.924,102.007,0,silence,52,new_mri_vol
2016-03-09-10:33:16.752,103.836,1,silence,52,ring_on
2016-03-09-10:33:16.922,104.006,1,silence,53,new_mri_vol
2016-03-09-10:33:17.196,104.280,1,silence,53,keypress
2016-03-09-10:33:17.752,104.836,0,silence,53,ring_off
2016-03-09-10:33:18.922,106.006,0,silence,54,new_mri_vol
2016-03-09-10:33:19.447,106.531,0,wav/900/norm/900-hap-tlk-b.wav,54,sound_on
2016-03-09-10:33:20.924,108.008,0,wav/900/norm/900-hap-tlk-b.wav,55,new_mri_vol
2016-03-09-10:33:22.922,110.006,0,wav/900/norm/900-hap-tlk-b.wav,56,new_mri_vol
2016-03-09-10:33:24.219,111.302,1,wav/900/norm/900-hap-tlk-b.wav,56,ring_on
2016-03-09-10:33:24.729,111.813,1,wav/900/norm/900-hap-tlk-b.wav,56,keypress
2016-03-09-10:33:24.923,112.007,1,wav/900/norm/900-hap-tlk-b.wav,57,new_mri_vol
2016-03-09-10:33:25.219,112.302,0,wav/900/norm/900-hap-tlk-b.wav,57,ring_off
2016-03-09-10:33:26.922,114.005,0,wav/900/norm/900-hap-tlk-b.wav,58,new_mri_vol
2016-03-09-10:33:28.924,116.007,0,wav/900/norm/900-hap-tlk-b.wav,59,new_mri_vol
2016-03-09-10:33:29.419,116.502,0,silence,59,sound_off
2016-03-09-10:33:30.924,118.009,0,silence,60,new_mri_vol
2016-03-09-10:33:32.001,119.085,1,silence,60,ring_on
2016-03-09-10:33:32.924,120.008,1,silence,61,new_mri_vol
2016-03-09-10:33:33.001,120.085,0,silence,61,ring_off
2016-03-09-10:33:34.571,121.655,0,silence,61,keypress
2016-03-09-10:33:34.925,122.008,0,silence,62,new_mri_vol
2016-03-09-10:33:35.453,122.537,0,wav/900/norm/900-neu-hlp-b.wav,62,sound_on
2016-03-09-10:33:36.923,124.007,0,wav/900/norm/900-neu-hlp-b.wav,63,new_mri_vol
2016-03-09-10:33:38.927,126.012,0,wav/900/norm/900-neu-hlp-b.wav,64,new_mri_vol
2016-03-09-10:33:40.928,128.012,0,wav/900/norm/900-neu-hlp-b.wav,65,new_mri_vol
2016-03-09-10:33:42.751,129.834,1,wav/900/norm/900-neu-hlp-b.wav,65,ring_on
2016-03-09-10:33:42.923,130.007,1,wav/900/norm/900-neu-hlp-b.wav,66,new_mri_vol
2016-03-09-10:33:43.084,130.169,1,wav/900/norm/900-neu-hlp-b.wav,66,keypress
2016-03-09-10:33:43.750,130.834,0,wav/900/norm/900-neu-hlp-b.wav,66,ring_off
2016-03-09-10:33:44.922,132.006,0,wav/900/norm/900-neu-hlp-b.wav,67,new_mri_vol
2016-03-09-10:33:45.434,132.518,0,silence,67,sound_off
2016-03-09-10:33:46.925,134.009,0,silence,68,new_mri_vol
2016-03-09-10:33:48.717,135.801,1,silence,68,ring_on
2016-03-09-10:33:48.926,136.010,1,silence,69,new_mri_vol
2016-03-09-10:33:49.137,136.222,1,silence,69,keypress
2016-03-09-10:33:49.717,136.801,0,silence,69,ring_off
2016-03-09-10:33:50.922,138.006,0,silence,70,new_mri_vol
2016-03-09-10:33:51.478,138.562,0,wav/901/norm/901-ang-din-b.wav,70,sound_on
2016-03-09-10:33:52.925,140.009,0,wav/901/norm/901-ang-din-b.wav,71,new_mri_vol
2016-03-09-10:33:54.923,142.007,0,wav/901/norm/901-ang-din-b.wav,72,new_mri_vol
2016-03-09-10:33:56.799,143.883,1,wav/901/norm/901-ang-din-b.wav,72,ring_on
2016-03-09-10:33:56.924,144.008,1,wav/901/norm/901-ang-din-b.wav,73,new_mri_vol
2016-03-09-10:33:57.224,144.308,1,wav/901/norm/901-ang-din-b.wav,73,keypress
2016-03-09-10:33:57.799,144.883,0,wav/901/norm/901-ang-din-b.wav,73,ring_off
2016-03-09-10:33:58.924,146.008,0,wav/901/norm/901-ang-din-b.wav,74,new_mri_vol
2016-03-09-10:34:00.925,148.009,0,wav/901/norm/901-ang-din-b.wav,75,new_mri_vol
2016-03-09-10:34:01.451,148.535,0,silence,75,sound_off
2016-03-09-10:34:02.926,150.010,0,silence,76,new_mri_vol
2016-03-09-10:34:04.923,152.007,0,silence,77,new_mri_vol
2016-03-09-10:34:05.715,152.799,1,silence,77,ring_on
2016-03-09-10:34:06.216,153.301,1,silence,77,keypress
2016-03-09-10:34:06.715,153.799,0,silence,77,ring_off
2016-03-09-10:34:06.922,154.007,0,silence,78,new_mri_vol
2016-03-09-10:34:07.485,154.569,0,wav/900/norm/900-sad-chk-b.wav,78,sound_on
2016-03-09-10:34:08.925,156.009,0,wav/900/norm/900-sad-chk-b.wav,79,new_mri_vol
2016-03-09-10:34:10.925,158.010,0,wav/900/norm/900-sad-chk-b.wav,80,new_mri_vol
2016-03-09-10:34:10.965,158.049,1,wav/900/norm/900-sad-chk-b.wav,80,ring_on
2016-03-09-10:34:11.562,158.647,1,wav/900/norm/900-sad-chk-b.wav,80,keypress
2016-03-09-10:34:11.965,159.049,0,wav/900/norm/900-sad-chk-b.wav,80,ring_off
2016-03-09-10:34:12.926,160.011,0,wav/900/norm/900-sad-chk-b.wav,81,new_mri_vol
2016-03-09-10:34:14.926,162.010,0,wav/900/norm/900-sad-chk-b.wav,82,new_mri_vol
2016-03-09-10:34:16.925,164.009,0,wav/900/norm/900-sad-chk-b.wav,83,new_mri_vol
2016-03-09-10:34:17.463,164.548,0,silence,83,sound_off
2016-03-09-10:34:18.924,166.008,0,silence,84,new_mri_vol
2016-03-09-10:34:20.923,168.007,0,silence,85,new_mri_vol
2016-03-09-10:34:21.247,168.332,1,silence,85,ring_on
2016-03-09-10:34:21.595,168.680,1,silence,85,keypress
2016-03-09-10:34:22.247,169.332,0,silence,85,ring_off
2016-03-09-10:34:22.923,170.008,0,silence,86,new_mri_vol
2016-03-09-10:34:23.508,170.593,0,wav/901/norm/901-neu-din-b.wav,86,sound_on
2016-03-09-10:34:24.927,172.011,0,wav/901/norm/901-neu-din-b.wav,87,new_mri_vol
2016-03-09-10:34:26.924,174.008,0,wav/901/norm/901-neu-din-b.wav,88,new_mri_vol
2016-03-09-10:34:28.927,176.011,0,wav/901/norm/901-neu-din-b.wav,89,new_mri_vol
2016-03-09-10:34:30.247,177.332,1,wav/901/norm/901-neu-din-b.wav,89,ring_on
2016-03-09-10:34:30.772,177.856,1,wav/901/norm/901-neu-din-b.wav,89,keypress
2016-03-09-10:34:30.926,178.010,1,wav/901/norm/901-neu-din-b.wav,90,new_mri_vol
2016-03-09-10:34:31.247,178.332,0,wav/901/norm/901-neu-din-b.wav,90,ring_off
2016-03-09-10:34:32.926,180.011,0,wav/901/norm/901-neu-din-b.wav,91,new_mri_vol
2016-03-09-10:34:33.481,180.566,0,silence,91,sound_off
2016-03-09-10:34:34.924,182.009,0,silence,92,new_mri_vol
2016-03-09-10:34:36.130,183.214,1,silence,92,ring_on
2016-03-09-10:34:36.579,183.664,1,silence,92,keypress
2016-03-09-10:34:36.925,184.010,1,silence,93,new_mri_vol
2016-03-09-10:34:37.129,184.214,0,silence,93,ring_off
2016-03-09-10:34:38.927,186.012,0,silence,94,new_mri_vol
2016-03-09-10:34:39.515,186.600,0,wav/900/norm/900-ang-tlk-b.wav,94,sound_on
2016-03-09-10:34:40.925,188.010,0,wav/900/norm/900-ang-tlk-b.wav,95,new_mri_vol
2016-03-09-10:34:42.927,190.012,0,wav/900/norm/900-ang-tlk-b.wav,96,new_mri_vol
2016-03-09-10:34:44.923,192.008,0,wav/900/norm/900-ang-tlk-b.wav,97,new_mri_vol
2016-03-09-10:34:44.962,192.047,1,wav/900/norm/900-ang-tlk-b.wav,97,ring_on
2016-03-09-10:34:45.484,192.569,1,wav/900/norm/900-ang-tlk-b.wav,97,keypress
2016-03-09-10:34:45.962,193.047,0,wav/900/norm/900-ang-tlk-b.wav,97,ring_off
2016-03-09-10:34:46.928,194.013,0,wav/900/norm/900-ang-tlk-b.wav,98,new_mri_vol
2016-03-09-10:34:48.923,196.008,0,wav/900/norm/900-ang-tlk-b.wav,99,new_mri_vol
2016-03-09-10:34:49.494,196.580,0,silence,99,sound_off
2016-03-09-10:34:50.926,198.012,0,silence,100,new_mri_vol
2016-03-09-10:34:51.228,198.313,1,silence,100,ring_on
2016-03-09-10:34:51.638,198.724,1,silence,100,keypress
2016-03-09-10:34:52.228,199.313,0,silence,100,ring_off
2016-03-09-10:34:52.928,200.013,0,silence,101,new_mri_vol
2016-03-09-10:34:54.929,202.014,0,silence,102,new_mri_vol
2016-03-09-10:34:55.538,202.624,0,wav/900/norm/900-hap-din-b.wav,102,sound_on
2016-03-09-10:34:56.927,204.013,0,wav/900/norm/900-hap-din-b.wav,103,new_mri_vol
2016-03-09-10:34:57.378,204.463,1,wav/900/norm/900-hap-din-b.wav,103,ring_on
2016-03-09-10:34:57.775,204.860,1,wav/900/norm/900-hap-din-b.wav,103,keypress
2016-03-09-10:34:58.378,205.463,0,wav/900/norm/900-hap-din-b.wav,103,ring_off
2016-03-09-10:34:58.927,206.013,0,wav/900/norm/900-hap-din-b.wav,104,new_mri_vol
2016-03-09-10:35:00.926,208.012,0,wav/900/norm/900-hap-din-b.wav,105,new_mri_vol
2016-03-09-10:35:02.924,210.010,0,wav/900/norm/900-hap-din-b.wav,106,new_mri_vol
2016-03-09-10:35:04.925,212.010,0,wav/900/norm/900-hap-din-b.wav,107,new_mri_vol
2016-03-09-10:35:05.511,212.596,0,silence,107,sound_off
2016-03-09-10:35:06.924,214.011,0,silence,108,new_mri_vol
2016-03-09-10:35:08.627,215.712,1,silence,108,ring_on
2016-03-09-10:35:08.928,216.013,1,silence,109,new_mri_vol
2016-03-09-10:35:09.001,216.086,1,silence,109,keypress
2016-03-09-10:35:09.627,216.712,0,silence,109,ring_off
2016-03-09-10:35:10.924,218.010,0,silence,110,new_mri_vol
2016-03-09-10:35:11.548,218.634,0,wav/900/norm/900-neu-chk-b.wav,110,sound_on
2016-03-09-10:35:12.924,220.009,0,wav/900/norm/900-neu-chk-b.wav,111,new_mri_vol
2016-03-09-10:35:14.924,222.009,0,wav/900/norm/900-neu-chk-b.wav,112,new_mri_vol
2016-03-09-10:35:16.924,224.009,0,wav/900/norm/900-neu-chk-b.wav,113,new_mri_vol
2016-03-09-10:35:18.476,225.561,1,wav/900/norm/900-neu-chk-b.wav,113,ring_on
2016-03-09-10:35:18.912,225.998,1,wav/900/norm/900-neu-chk-b.wav,113,keypress
2016-03-09-10:35:18.931,226.017,1,wav/900/norm/900-neu-chk-b.wav,114,new_mri_vol
2016-03-09-10:35:19.476,226.561,0,wav/900/norm/900-neu-chk-b.wav,114,ring_off
2016-03-09-10:35:20.923,228.009,0,wav/900/norm/900-neu-chk-b.wav,115,new_mri_vol
2016-03-09-10:35:21.528,228.614,0,silence,115,sound_off
2016-03-09-10:35:22.925,230.010,0,silence,116,new_mri_vol
2016-03-09-10:35:24.927,232.013,0,silence,117,new_mri_vol
2016-03-09-10:35:25.842,232.927,1,silence,117,ring_on
2016-03-09-10:35:26.633,233.719,1,silence,117,keypress
2016-03-09-10:35:26.842,233.927,0,silence,117,ring_off
2016-03-09-10:35:26.924,234.009,0,silence,118,new_mri_vol
2016-03-09-10:35:27.569,234.655,0,wav/901/norm/901-sad-tlk-b.wav,118,sound_on
2016-03-09-10:35:28.926,236.012,0,wav/901/norm/901-sad-tlk-b.wav,119,new_mri_vol
2016-03-09-10:35:29.942,237.027,1,wav/901/norm/901-sad-tlk-b.wav,119,ring_on
2016-03-09-10:35:30.666,237.752,1,wav/901/norm/901-sad-tlk-b.wav,119,keypress
2016-03-09-10:35:30.928,238.014,1,wav/901/norm/901-sad-tlk-b.wav,120,new_mri_vol
2016-03-09-10:35:30.958,238.044,0,wav/901/norm/901-sad-tlk-b.wav,120,ring_off
2016-03-09-10:35:32.926,240.012,0,wav/901/norm/901-sad-tlk-b.wav,121,new_mri_vol
2016-03-09-10:35:34.925,242.010,0,wav/901/norm/901-sad-tlk-b.wav,122,new_mri_vol
2016-03-09-10:35:36.926,244.012,0,wav/901/norm/901-sad-tlk-b.wav,123,new_mri_vol
2016-03-09-10:35:37.541,244.627,0,silence,123,sound_off
2016-03-09-10:35:38.926,246.012,0,silence,124,new_mri_vol
2016-03-09-10:35:40.774,247.860,1,silence,124,ring_on
2016-03-09-10:35:40.925,248.011,1,silence,125,new_mri_vol
2016-03-09-10:35:41.465,248.551,1,silence,125,keypress
2016-03-09-10:35:41.774,248.860,0,silence,125,ring_off
2016-03-09-10:35:42.924,250.010,0,silence,126,new_mri_vol
2016-03-09-10:35:43.578,250.665,0,wav/901/norm/901-ang-chk-b.wav,126,sound_on
2016-03-09-10:35:44.925,252.011,0,wav/901/norm/901-ang-chk-b.wav,127,new_mri_vol
2016-03-09-10:35:46.927,254.014,0,wav/901/norm/901-ang-chk-b.wav,128,new_mri_vol
2016-03-09-10:35:48.341,255.427,1,wav/901/norm/901-ang-chk-b.wav,128,ring_on
2016-03-09-10:35:48.817,255.903,1,wav/901/norm/901-ang-chk-b.wav,128,keypress
2016-03-09-10:35:48.924,256.010,1,wav/901/norm/901-ang-chk-b.wav,129,new_mri_vol
2016-03-09-10:35:49.341,256.427,0,wav/901/norm/901-ang-chk-b.wav,129,ring_off
2016-03-09-10:35:50.926,258.012,0,wav/901/norm/901-ang-chk-b.wav,130,new_mri_vol
2016-03-09-10:35:52.924,260.010,0,wav/901/norm/901-ang-chk-b.wav,131,new_mri_vol
2016-03-09-10:35:53.557,260.643,0,silence,131,sound_off
2016-03-09-10:35:54.926,262.012,0,silence,132,new_mri_vol
2016-03-09-10:35:55.123,262.209,1,silence,132,ring_on
2016-03-09-10:35:55.519,262.605,1,silence,132,keypress
2016-03-09-10:35:56.123,263.209,0,silence,132,ring_off
2016-03-09-10:35:56.925,264.011,0,silence,133,new_mri_vol
2016-03-09-10:35:58.924,266.010,0,silence,134,new_mri_vol
2016-03-09-10:35:59.601,266.687,0,wav/900/norm/900-hap-hlp-b.wav,134,sound_on
2016-03-09-10:36:00.927,268.014,0,wav/900/norm/900-hap-hlp-b.wav,135,new_mri_vol
2016-03-09-10:36:02.925,270.012,0,wav/900/norm/900-hap-hlp-b.wav,136,new_mri_vol
2016-03-09-10:36:03.422,270.509,1,wav/900/norm/900-hap-hlp-b.wav,136,ring_on
2016-03-09-10:36:03.799,270.885,1,wav/900/norm/900-hap-hlp-b.wav,136,keypress
2016-03-09-10:36:04.422,271.509,0,wav/900/norm/900-hap-hlp-b.wav,136,ring_off
2016-03-09-10:36:04.924,272.010,0,wav/900/norm/900-hap-hlp-b.wav,137,new_mri_vol
2016-03-09-10:36:06.925,274.011,0,wav/900/norm/900-hap-hlp-b.wav,138,new_mri_vol
2016-03-09-10:36:08.929,276.015,0,wav/900/norm/900-hap-hlp-b.wav,139,new_mri_vol
2016-03-09-10:36:09.575,276.661,0,silence,139,sound_off
2016-03-09-10:36:10.925,278.011,0,silence,140,new_mri_vol
2016-03-09-10:36:11.588,278.675,1,silence,140,ring_on
2016-03-09-10:36:11.958,279.045,1,silence,140,keypress
2016-03-09-10:36:12.588,279.674,0,silence,140,ring_off
2016-03-09-10:36:12.927,280.014,0,silence,141,new_mri_vol
2016-03-09-10:36:14.925,282.012,0,silence,142,new_mri_vol
2016-03-09-10:36:15.608,282.695,0,wav/901/norm/901-neu-tlk-b.wav,142,sound_on
2016-03-09-10:36:16.925,284.011,0,wav/901/norm/901-neu-tlk-b.wav,143,new_mri_vol
