"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"fam","neu",1,3,1,27,"a"
"fam","ang",3,3,1,29,"a"
"fam","hap",4,3,1,31,"a"
"unf","sad",2,3,1,33,"a"
"fam","neu",3,3,1,35,"a"
"fam","ang",1,3,1,37,"a"
"fam","hap",2,3,1,39,"a"
"fam","sad",4,3,1,41,"a"
"unf","hap",1,3,1,43,"a"
"unf","neu",2,3,1,45,"a"
"unf","sad",1,3,1,47,"a"
"unf","hap",3,3,1,49,"a"
"fam","ang",4,3,1,51,"a"
"fam","sad",1,3,1,53,"a"
"unf","neu",4,3,1,55,"a"
"fam","hap",3,3,1,57,"a"
"unf","ang",2,3,1,59,"a"
"unf","neu",1,3,1,61,"a"
"unf","sad",4,3,1,63,"a"
"unf","neu",3,3,1,65,"a"
"unf","neu",3,3,2,1,"b"
"unf","sad",2,3,2,3,"b"
"fam","ang",3,3,2,5,"b"
"unf","hap",1,3,2,7,"b"
"fam","sad",4,3,2,9,"b"
"fam","hap",3,3,2,11,"b"
"unf","neu",2,3,2,13,"b"
"unf","ang",1,3,2,15,"b"
"fam","sad",2,3,2,17,"b"
"fam","neu",1,3,2,19,"b"
"fam","hap",2,3,2,21,"b"
"unf","ang",4,3,2,23,"b"
"fam","hap",1,3,2,25,"b"
"unf","sad",4,3,2,27,"b"
"fam","neu",2,3,2,29,"b"
"unf","sad",3,3,2,31,"b"
"fam","ang",4,3,2,33,"b"
"fam","neu",3,3,2,35,"b"
"unf","hap",2,3,2,37,"b"
"unf","ang",3,3,2,39,"b"
"fam","neu",4,3,2,41,"b"
"fam","sad",1,3,2,43,"b"
"unf","hap",4,3,2,45,"b"
"unf","sad",1,3,2,47,"b"
"fam","ang",2,3,2,49,"b"
"unf","hap",3,3,2,51,"b"
"unf","neu",4,3,2,53,"b"
"fam","ang",1,3,2,55,"b"
"fam","sad",3,3,2,57,"b"
"unf","neu",1,3,2,59,"b"
"fam","hap",4,3,2,61,"b"
"unf","ang",2,3,2,63,"b"
"unf","neu",3,3,2,65,"b"
"unf","neu",4,4,1,1,"a"
"fam","hap",2,4,1,3,"a"
"unf","ang",3,4,1,5,"a"
"unf","sad",2,4,1,7,"a"
"fam","neu",4,4,1,9,"a"
"unf","ang",1,4,1,11,"a"
"fam","hap",3,4,1,13,"a"
"fam","sad",2,4,1,15,"a"
"unf","neu",1,4,1,17,"a"
"fam","ang",3,4,1,19,"a"
"unf","sad",1,4,1,21,"a"
"fam","neu",2,4,1,23,"a"
"unf","hap",3,4,1,25,"a"
"fam","ang",4,4,1,27,"a"
"unf","sad",3,4,1,29,"a"
"fam","hap",4,4,1,31,"a"
"unf","neu",2,4,1,33,"a"
"fam","sad",1,4,1,35,"a"
"unf","ang",4,4,1,37,"a"
"fam","neu",3,4,1,39,"a"
"fam","sad",4,4,1,41,"a"
"unf","hap",2,4,1,43,"a"
"unf","neu",3,4,1,45,"a"
"fam","ang",1,4,1,47,"a"
"unf","hap",4,4,1,49,"a"
"fam","sad",3,4,1,51,"a"
"unf","ang",2,4,1,53,"a"
