"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neu" "1a" 3 1 1
"None" "Sil" "0" 3 1 2
"Mom" "Sad" "3a" 3 1 3
"None" "Sil" "0" 3 1 4
"Unf" "Angry" "1a" 3 1 5
"None" "Sil" "0" 3 1 6
"Unf" "Happy" "4a" 3 1 7
"None" "Sil" "0" 3 1 8
"Mom" "Sad" "2a" 3 1 9
"None" "Sil" "0" 3 1 10
"Unf" "Angry" "4a" 3 1 11
"None" "Sil" "0" 3 1 12
"Mom" "Happy " "1a" 3 1 13
"None" "Sil" "0" 3 1 14
"Unf" "Angry " "3a" 3 1 15
"None" "Sil" "0" 3 1 16
"Mom" "Neu" "2a" 3 1 17
"None" "Sil" "0" 3 1 18
"Unf" "Sad" "3a" 3 1 19
"None" "Sil" "0" 3 1 20
"Mom" "Angry" "2a" 3 1 21
"None" "Sil" "0" 3 1 22
"Mom" "Neu" "4a" 3 1 23
"None" "Sil" "0" 3 1 24
"Unf" "Happy" "2a" 3 1 25
"None" "Sil" "0" 3 1 26
"Mom" "Neu" "1a" 3 1 27
"None" "Sil" "0" 3 1 28
"Mom" "Angry " "3a" 3 1 29
"None" "Sil" "0" 3 1 30
"Unf" "Sad" "2a" 3 1 31
"None" "Sil" "0" 3 1 32
"Mom" "Happy" "4a" 3 1 33
"None" "Sil" "0" 3 1 34
"Unf" "Neut" "3a" 3 1 35
"None" "Sil" "0" 3 1 36
"Mom" "Angry " "1a" 3 1 37
"None" "Sil" "0" 3 1 38
"Mom" "Happy " "2a" 3 1 39
"None" "Sil" "0" 3 1 40
"Mom" "Sad" "4a" 3 1 41
"None" "Sil" "0" 3 1 42
"Unf" "Happy " "1a" 3 1 43
"None" "Sil" "0" 3 1 44
"Unf" "Neu" "2a" 3 1 45
"None" "Sil" "0" 3 1 46
"Unf" "Sad" "1a" 3 1 47
"None" "Sil" "0" 3 1 48
"Unf" "Happy" "3a" 3 1 49
"None" "Sil" "0" 3 1 50
"Mom" "Angry " "4a" 3 1 51
"None" "Sil" "0" 3 1 52
"Mom" "Sad" "1a" 3 1 53
"None" "Sil" "0" 3 1 54
"Unf" "Neu" "4a" 3 1 55
"None" "Sil" "0" 3 1 56
"Mom" "Happy " "3a" 3 1 57
"None" "Sil" "0" 3 1 58
"Unf" "Angry" "2a" 3 1 59
"None" "Sil" "0" 3 1 60
"Mom" "Neut" "3a" 3 1 61
"None" "Sil" "0" 3 1 62
"Unf" "Sad" "4a" 3 1 63
"None" "Sil" "0" 3 1 64
"Unf" "Neu" "1a" 3 1 65
