"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neut" "4b" 3 2 1
"None" "Sil" "0" 3 2 2
"Unf" "Sad" "2b" 3 2 3
"None" "Sil" "0" 3 2 4
"Mom" "Angry " "3b" 3 2 5
"None" "Sil" "0" 3 2 6
"Unf" "Happy" "1b" 3 2 7
"None" "Sil" "0" 3 2 8
"Mom" "Sad" "4b" 3 2 9
"None" "Sil" "0" 3 2 10
"Unf" "Neut" "2b" 3 2 11
"None" "Sil" "0" 3 2 12
"Mom" "Happy " "3b" 3 2 13
"None" "Sil" "0" 3 2 14
"Unf" "Angry" "1b" 3 2 15
"None" "Sil" "0" 3 2 16
"Mom" "Sad" "2b" 3 2 17
"None" "Sil" "0" 3 2 18
"Mom" "Neut" "1b" 3 2 19
"None" "Sil" "0" 3 2 20
"Mom" "Happy " "2b" 3 2 21
"None" "Sil" "0" 3 2 22
"Unf" "Angry" "4b" 3 2 23
"None" "Sil" "0" 3 2 24
"Mom" "Happy " "1b" 3 2 25
"None" "Sil" "0" 3 2 26
"Unf" "Sad" "4b" 3 2 27
"None" "Sil" "0" 3 2 28
"Mom" "Neu" "2b" 3 2 29
"None" "Sil" "0" 3 2 30
"Unf" "Sad" "3b" 3 2 31
"None" "Sil" "0" 3 2 32
"Mom" "Angry " "4b" 3 2 33
"None" "Sil" "0" 3 2 34
"Mom" "Neu" "3b" 3 2 35
"None" "Sil" "0" 3 2 36
"Unf" "Happy" "2b" 3 2 37
"None" "Sil" "0" 3 2 38
"Unf" "Angry" "3b" 3 2 39
"None" "Sil" "0" 3 2 40
"Mom" "Neu" "4b" 3 2 41
"None" "Sil" "0" 3 2 42
"Mom" "Sad" "1b" 3 2 43
"None" "Sil" "0" 3 2 44
"Unf" "Happy" "3b" 3 2 45
"None" "Sil" "0" 3 2 46
"Unf" "Sad" "1b" 3 2 47
"None" "Sil" "0" 3 2 48
"Mom" "Angry " "2b" 3 2 49
"None" "Sil" "0" 3 2 50
"Unf" "Neu" "3b" 3 2 51
"None" "Sil" "0" 3 2 52
"Unf" "Happy" "4b" 3 2 53
"None" "Sil" "0" 3 2 54
"Mom" "Angry " "1b" 3 2 55
"None" "Sil" "0" 3 2 56
"Mom" "Sad" "3b" 3 2 57
"None" "Sil" "0" 3 2 58
"Unf" "Neu" "1b" 3 2 59
"None" "Sil" "0" 3 2 60
"Mom" "Happy " "4b" 3 2 61
"None" "Sil" "0" 3 2 62
"Unf" "Angry" "2b" 3 2 63
"None" "Sil" "0" 3 2 64
"Unf" "Neut" "4b" 3 2 65
