"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neu" "4a" 1 1 1
"None" "Sil" "0" 1 1 2
"Mom" "Sad" "2a" 1 1 3
"None" "Sil" "0" 1 1 4
"Unf" "Angry" "1a" 1 1 5
"None" "Sil" "0" 1 1 6
"Unf" "Happy" "3a" 1 1 7
"None" "Sil" "0" 1 1 8
"Mom" "Sad" "1a" 1 1 9
"None" "Sil" "0" 1 1 10
"Unf" "Neut" "2a" 1 1 11
"None" "Sil" "0" 1 1 12
"Mom" "Happy" "4a" 1 1 13
"None" "Sil" "0" 1 1 14
"Unf" "Sad" "3a" 1 1 15
"None" "Sil" "0" 1 1 16
"Mom" "Happy" "1a" 1 1 17
"None" "Sil" "0" 1 1 18
"Unf" "Angry" "2a" 1 1 19
"None" "Sil" "0" 1 1 20
"Mom" "Neu" "3a" 1 1 21
"None" "Sil" "0" 1 1 22
"Unf" "Happy" "1a" 1 1 23
"None" "Sil" "0" 1 1 24
"Mom" "Angry " "4a" 1 1 25
"None" "Sil" "0" 1 1 26
"Mom" "Sad" "3a" 1 1 27
"None" "Sil" "0" 1 1 28
"Unf" "Neu" "1a" 1 1 29
"None" "Sil" "0" 1 1 30
"Mom" "Happy " "2a" 1 1 31
"None" "Sil" "0" 1 1 32
"Unf" "Sad" "4a" 1 1 33
"None" "Sil" "0" 1 1 34
"Mom" "Angry " "3a" 1 1 35
"None" "Sil" "0" 1 1 36
"Unf" "Happy" "2a" 1 1 37
"None" "Sil" "0" 1 1 38
"Mom" "Neu" "4a" 1 1 39
"None" "Sil" "0" 1 1 40
"Unf" "Angry" "3a" 1 1 41
"None" "Sil" "0" 1 1 42
"Unf" "Sad" "1a" 1 1 43
"None" "Sil" "0" 1 1 44
"Mom" "Happy" "3a" 1 1 45
"None" "Sil" "0" 1 1 46
"Unf" "Angry" "4a" 1 1 47
"None" "Sil" "0" 1 1 48
"Unf" "Neu" "3a" 1 1 49
"None" "Sil" "0" 1 1 50
"Mom" "Sad" "4a" 1 1 51
"None" "Sil" "0" 1 1 52
"Mom" "Neut" "2a" 1 1 53
"None" "Sil" "0" 1 1 54
"Unf" "Happy" "4a" 1 1 55
"None" "Sil" "0" 1 1 56
"Mom" "Angry " "1a" 1 1 57
"None" "Sil" "0" 1 1 58
"Unf" "Sad" "2a" 1 1 59
"None" "Sil" "0" 1 1 60
"Mom" "Neu" "1a" 1 1 61
"None" "Sil" "0" 1 1 62
"Mom" "Angry " "2a" 1 1 63
"None" "Sil" "0" 1 1 64
"Unf" "Neu" "4a" 1 1 65
