"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neu" "1a" 4 1 1
"None" "Sil" "0" 4 1 2
"Mom" "Happy " "2a" 4 1 3
"None" "Sil" "0" 4 1 4
"Unf" "Angry" "3a" 4 1 5
"None" "Sil" "0" 4 1 6
"Mom" "Neu" "4a" 4 1 7
"None" "Sil" "0" 4 1 8
"Unf" "Sad" "2a" 4 1 9
"None" "Sil" "0" 4 1 10
"Unf" "Angry" "1a" 4 1 11
"None" "Sil" "0" 4 1 12
"Mom" "Happy " "3a" 4 1 13
"None" "Sil" "0" 4 1 14
"Mom" "Sad" "2a" 4 1 15
"None" "Sil" "0" 4 1 16
"Unf" "Neu" "4a" 4 1 17
"None" "Sil" "0" 4 1 18
"Mom" "Angry " "3a" 4 1 19
"None" "Sil" "0" 4 1 20
"Unf" "Sad" "1a" 4 1 21
"None" "Sil" "0" 4 1 22
"Mom" "Neu" "2a" 4 1 23
"None" "Sil" "0" 4 1 24
"Unf" "Happy" "3a" 4 1 25
"None" "Sil" "0" 4 1 26
"Mom" "Angry " "4a" 4 1 27
"None" "Sil" "0" 4 1 28
"Unf" "Sad" "3a" 4 1 29
"None" "Sil" "0" 4 1 30
"Mom" "Happy " "1a" 4 1 31
"None" "Sil" "0" 4 1 32
"Unf" "Neut" "2a" 4 1 33
"None" "Sil" "0" 4 1 34
"Mom" "Sad" "1a" 4 1 35
"None" "Sil" "0" 4 1 36
"Unf" "Angry" "4a" 4 1 37
"None" "Sil" "0" 4 1 38
"Mom" "Neu" "3a" 4 1 39
"None" "Sil" "0" 4 1 40
"Mom" "Sad" "4a" 4 1 41
"None" "Sil" "0" 4 1 42
"Unf" "Happy" "2a" 4 1 43
"None" "Sil" "0" 4 1 44
"Unf" "Neut" "3a" 4 1 45
"None" "Sil" "0" 4 1 46
"Mom" "Angry " "1a" 4 1 47
"None" "Sil" "0" 4 1 48
"Unf" "Happy" "4a" 4 1 49
"None" "Sil" "0" 4 1 50
"Mom" "Sad" "3a" 4 1 51
"None" "Sil" "0" 4 1 52
"Unf" "Angry" "2a" 4 1 53
"None" "Sil" "0" 4 1 54
"Mom" "Neut" "1a" 4 1 55
"None" "Sil" "0" 4 1 56
"Unf" "Sad" "4a" 4 1 57
"None" "Sil" "0" 4 1 58
"Unf" "Happy" "1a" 4 1 59
"None" "Sil" "0" 4 1 60
"Mom" "Angry " "2a" 4 1 61
"None" "Sil" "0" 4 1 62
"Mom" "Happy " "4a" 4 1 63
"None" "Sil" "0" 4 1 64
"Unf" "Neu" "1a" 4 1 65
