"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neut" "2b" 1 2 1
"None" "Sil" "0" 1 2 2
"Unf" "Happy" "1b" 1 2 3
"None" "Sil" "0" 1 2 4
"Mom" "Sad" "3b" 1 2 5
"None" "Sil" "0" 1 2 6
"Unf" "Angry" "4b" 1 2 7
"None" "Sil" "0" 1 2 8
"Mom" "Neu" "3b" 1 2 9
"None" "Sil" "0" 1 2 10
"Mom" "Sad" "1b" 1 2 11
"None" "Sil" "0" 1 2 12
"Unf" "Happy" "2b" 1 2 13
"None" "Sil" "0" 1 2 14
"Unf" "Neu" "4b" 1 2 15
"None" "Sil" "0" 1 2 16
"Mom" "Angry " "1b" 1 2 17
"None" "Sil" "0" 1 2 18
"Unf" "Sad" "3b" 1 2 19
"None" "Sil" "0" 1 2 20
"Mom" "Neu" "1b" 1 2 21
"None" "Sil" "0" 1 2 22
"Unf" "Angry" "2b" 1 2 23
"None" "Sil" "0" 1 2 24
"Mom" "Happy" "4b" 1 2 25
"None" "Sil" "0" 1 2 26
"Unf" "Neut" "3b" 1 2 27
"None" "Sil" "0" 1 2 28
"Mom" "Sad" "2b" 1 2 29
"None" "Sil" "0" 1 2 30
"Mom" "Angry " "3b" 1 2 31
"None" "Sil" "0" 1 2 32
"Unf" "Happy" "4b" 1 2 33
"None" "Sil" "0" 1 2 34
"Mom" "Neu" "2b" 1 2 35
"None" "Sil" "0" 1 2 36
"Unf" "Sad" "1b" 1 2 37
"None" "Sil" "0" 1 2 38
"Mom" "Happy" "3b" 1 2 39
"None" "Sil" "0" 1 2 40
"Mom" "Sad" "4b" 1 2 41
"None" "Sil" "0" 1 2 42
"Unf" "Angry" "3b" 1 2 43
"None" "Sil" "0" 1 2 44
"Unf" "Neu" "1b" 1 2 45
"None" "Sil" "0" 1 2 46
"Mom" "Happy" "2b" 1 2 47
"None" "Sil" "0" 1 2 48
"Unf" "Angry" "1b" 1 2 49
"None" "Sil" "0" 1 2 50
"Mom" "Neut" "4b" 1 2 51
"None" "Sil" "0" 1 2 52
"Unf" "Sad" "2b" 1 2 53
"None" "Sil" "0" 1 2 54
"Mom" "Angry " "4b" 1 2 55
"None" "Sil" "0" 1 2 56
"Unf" "Happy" "3b" 1 2 57
"None" "Sil" "0" 1 2 58
"Unf" "Sad" "4b" 1 2 59
"None" "Sil" "0" 1 2 60
"Mom" "Angry " "2b" 1 2 61
"None" "Sil" "0" 1 2 62
"Mom" "Happy " "1b" 1 2 63
"None" "Sil" "0" 1 2 64
"Unf" "Neut" "2b" 1 2 65
