"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neu" "4a" 2 1 1
"None" "Sil" "0" 2 1 2
"Mom" "Angry" "2a" 2 1 3
"None" "Sil" "0" 2 1 4
"Mom" "Sad" "1a" 2 1 5
"None" "Sil" "0" 2 1 6
"Unf" "Happy" "3a" 2 1 7
"None" "Sil" "0" 2 1 8
"Mom" "Neu" "2a" 2 1 9
"None" "Sil" "0" 2 1 10
"Unf" "Sad" "4a" 2 1 11
"None" "Sil" "0" 2 1 12
"Mom" "Angry " "3a" 2 1 13
"None" "Sil" "0" 2 1 14
"Unf" "Neut" "2a" 2 1 15
"None" "Sil" "0" 2 1 16
"Mom" "Happy " "1a" 2 1 17
"None" "Sil" "0" 2 1 18
"Unf" "Sad" "3a" 2 1 19
"None" "Sil" "0" 2 1 20
"Unf" "Angry" "2a" 2 1 21
"None" "Sil" "0" 2 1 22
"Mom" "Neu" "3a" 2 1 23
"None" "Sil" "0" 2 1 24
"Unf" "Happy" "4a" 2 1 25
"None" "Sil" "0" 2 1 26
"Mom" "Angry " "1a" 2 1 27
"None" "Sil" "0" 2 1 28
"Mom" "Sad" "4a" 2 1 29
"None" "Sil" "0" 2 1 30
"Unf" "Neut" "3a" 2 1 31
"None" "Sil" "0" 2 1 32
"Unf" "Sad" "1a" 2 1 33
"None" "Sil" "0" 2 1 34
"Mom" "Happy" "4a" 2 1 35
"None" "Sil" "0" 2 1 36
"Unf" "Angry" "3a" 2 1 37
"None" "Sil" "0" 2 1 38
"Mom" "Happy " "2a" 2 1 39
"None" "Sil" "0" 2 1 40
"Mom" "Sad" "3a" 2 1 41
"None" "Sil" "0" 2 1 42
"Unf" "Neu" "1a" 2 1 43
"None" "Sil" "0" 2 1 44
"Unf" "Angry" "4a" 2 1 45
"None" "Sil" "0" 2 1 46
"Mom" "Sad" "2a" 2 1 47
"None" "Sil" "0" 2 1 48
"Mom" "Neut" "3a" 2 1 49
"None" "Sil" "0" 2 1 50
"Unf" "Happy" "1a" 2 1 51
"None" "Sil" "0" 2 1 52
"Unf" "Sad" "2a" 2 1 53
"None" "Sil" "0" 2 1 54
"Mom" "Angry " "4a" 2 1 55
"None" "Sil" "0" 2 1 56
"Unf" "Happy" "2a" 2 1 57
"None" "Sil" "0" 2 1 58
"Mom" "Neut" "1a" 2 1 59
"None" "Sil" "0" 2 1 60
"Mom" "Happy " "3a" 2 1 61
"None" "Sil" "0" 2 1 62
"Unf" "Angry" "1a" 2 1 63
"None" "Sil" "0" 2 1 64
"Unf" "Neu" "4a" 2 1 65
