"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neu" "2a" 4 2 1
"None" "Sil" "0" 4 2 2
"Unf" "Happy" "4b" 4 2 3
"None" "Sil" "0" 4 2 4
"Mom" "Angry " "2b" 4 2 5
"None" "Sil" "0" 4 2 6
"Mom" "Sad" "3b" 4 2 7
"None" "Sil" "0" 4 2 8
"Mom" "Angry " "1b" 4 2 9
"None" "Sil" "0" 4 2 10
"Mom" "Neu" "2b" 4 2 11
"None" "Sil" "0" 4 2 12
"Mom" "Happy " "3b" 4 2 13
"None" "Sil" "0" 4 2 14
"Unf" "Angry" "1b" 4 2 15
"None" "Sil" "0" 4 2 16
"Mom" "Sad" "4b" 4 2 17
"None" "Sil" "0" 4 2 18
"Unf" "Neu" "3a" 4 2 19
"None" "Sil" "0" 4 2 20
"Unf" "Sad" "1b" 4 2 21
"None" "Sil" "0" 4 2 22
"Mom" "Happy " "4b" 4 2 23
"None" "Sil" "0" 4 2 24
"Unf" "Neut" "1b" 4 2 25
"None" "Sil" "0" 4 2 26
"Unf" "Sad" "3b" 4 2 27
"None" "Sil" "0" 4 2 28
"Unf" "Angry" "2b" 4 2 29
"None" "Sil" "0" 4 2 30
"Mom" "Neu" "4b" 4 2 31
"None" "Sil" "0" 4 2 32
"Mom" "Happy " "2b" 4 2 33
"None" "Sil" "0" 4 2 34
"Unf" "Angry" "4b" 4 2 35
"None" "Sil" "0" 4 2 36
"Mom" "Sad" "1b" 4 2 37
"None" "Sil" "0" 4 2 38
"Unf" "Happy" "3b" 4 2 39
"None" "Sil" "0" 4 2 40
"Mom" "Neu" "1b" 4 2 41
"None" "Sil" "0" 4 2 42
"Mom" "Angry " "4b" 4 2 43
"None" "Sil" "0" 4 2 44
"Unf" "Happy" "2b" 4 2 45
"None" "Sil" "0" 4 2 46
"Unf" "Sad" "4b" 4 2 47
"None" "Sil" "0" 4 2 48
"Mom" "Neu" "3b" 4 2 49
"None" "Sil" "0" 4 2 50
"Unf" "Happy" "1b" 4 2 51
"None" "Sil" "0" 4 2 52
"Mom" "Angry " "3b" 4 2 53
"None" "Sil" "0" 4 2 54
"Unf" "Sad" "2b" 4 2 55
"None" "Sil" "0" 4 2 56
"Unf" "Neut" "4b" 4 2 57
"None" "Sil" "0" 4 2 58
"Mom" "Sad" "2b" 4 2 59
"None" "Sil" "0" 4 2 60
"Unf" "Angry" "3b" 4 2 61
"None" "Sil" "0" 4 2 62
"Mom" "Happy " "1b" 4 2 63
"None" "Sil" "0" 4 2 64
"Unf" "Neu" "2a" 4 2 65
